kabupaten_kota,provinsi
SIMEULUE,ACEH
ACEH SINGKIL,ACEH
ACEH SELATAN,ACEH
ACEH TENGGARA,ACEH
ACEH TIMUR,ACEH
ACEH TENGAH,ACEH
ACEH BARAT,ACEH
ACEH BESAR,ACEH
PIDIE,ACEH
BIREUEN,ACEH
ACEH UTARA,ACEH
ACEH BARAT DAYA,ACEH
GAYO LUES,ACEH
ACEH TAMIANG,ACEH
NAGAN RAYA,ACEH
ACEH JAYA,ACEH
BENER MERIAH,ACEH
PIDIE JAYA,ACEH
BANDA ACEH,ACEH
SABANG,ACEH
LANGSA,ACEH
LHOKSEUMAWE,ACEH
SUBULUSSALAM,ACEH
NIAS,SUMATERA UTARA
MANDAILING NATAL,SUMATERA UTARA
TAPANULI SELATAN,SUMATERA UTARA
TAPANULI TENGAH,SUMATERA UTARA
TAPANULI UTARA,SUMATERA UTARA
TOBA SAMOSIR,SUMATERA UTARA
LABUHAN BATU,SUMATERA UTARA
ASAHAN,SUMATERA UTARA
SIMALUNGUN,SUMATERA UTARA
DAIRI,SUMATERA UTARA
KARO,SUMATERA UTARA
DELI SERDANG,SUMATERA UTARA
LANGKAT,SUMATERA UTARA
NIAS SELATAN,SUMATERA UTARA
HUMBANG HASUNDUTAN,SUMATERA UTARA
PAKPAK BHARAT,SUMATERA UTARA
SAMOSIR,SUMATERA UTARA
SERDANG BEDAGAI,SUMATERA UTARA
BATU BARA,SUMATERA UTARA
PADANG LAWAS UTARA,SUMATERA UTARA
PADANG LAWAS,SUMATERA UTARA
LABUHAN BATU SELATAN,SUMATERA UTARA
LABUHAN BATU UTARA,SUMATERA UTARA
NIAS UTARA,SUMATERA UTARA
NIAS BARAT,SUMATERA UTARA
SIBOLGA,SUMATERA UTARA
TANJUNG BALAI,SUMATERA UTARA
PEMATANG SIANTAR,SUMATERA UTARA
TEBING TINGGI,SUMATERA UTARA
MEDAN,SUMATERA UTARA
BINJAI,SUMATERA UTARA
PADANGSIDIMPUAN,SUMATERA UTARA
GUNUNGSITOLI,SUMATERA UTARA
KEPULAUAN MENTAWAI,SUMATERA BARAT
PESISIR SELATAN,SUMATERA BARAT
SOLOK,SUMATERA BARAT
SIJUNJUNG,SUMATERA BARAT
TANAH DATAR,SUMATERA BARAT
PADANG PARIAMAN,SUMATERA BARAT
AGAM,SUMATERA BARAT
LIMA PULUH KOTA,SUMATERA BARAT
PASAMAN,SUMATERA BARAT
SOLOK SELATAN,SUMATERA BARAT
DHARMASRAYA,SUMATERA BARAT
PASAMAN BARAT,SUMATERA BARAT
PADANG,SUMATERA BARAT
SOLOK,SUMATERA BARAT
SAWAH LUNTO,SUMATERA BARAT
PADANG PANJANG,SUMATERA BARAT
BUKITTINGGI,SUMATERA BARAT
PAYAKUMBUH,SUMATERA BARAT
PARIAMAN,SUMATERA BARAT
KUANTAN SINGINGI,RIAU
INDRAGIRI HULU,RIAU
INDRAGIRI HILIR,RIAU
PELALAWAN,RIAU
S I A K,RIAU
KAMPAR,RIAU
ROKAN HULU,RIAU
BENGKALIS,RIAU
ROKAN HILIR,RIAU
KEPULAUAN MERANTI,RIAU
PEKANBARU,RIAU
D U M A I,RIAU
KERINCI,JAMBI
MERANGIN,JAMBI
SAROLANGUN,JAMBI
BATANG HARI,JAMBI
MUARO JAMBI,JAMBI
TANJUNG JABUNG TIMUR,JAMBI
TANJUNG JABUNG BARAT,JAMBI
TEBO,JAMBI
BUNGO,JAMBI
JAMBI,JAMBI
SUNGAI PENUH,JAMBI
OGAN KOMERING ULU,SUMATERA SELATAN
OGAN KOMERING ILIR,SUMATERA SELATAN
MUARA ENIM,SUMATERA SELATAN
LAHAT,SUMATERA SELATAN
MUSI RAWAS,SUMATERA SELATAN
MUSI BANYUASIN,SUMATERA SELATAN
BANYU ASIN,SUMATERA SELATAN
OGAN KOMERING ULU SELATAN,SUMATERA SELATAN
OGAN KOMERING ULU TIMUR,SUMATERA SELATAN
OGAN ILIR,SUMATERA SELATAN
EMPAT LAWANG,SUMATERA SELATAN
PENUKAL ABAB LEMATANG ILIR,SUMATERA SELATAN
MUSI RAWAS UTARA,SUMATERA SELATAN
PALEMBANG,SUMATERA SELATAN
PRABUMULIH,SUMATERA SELATAN
PAGAR ALAM,SUMATERA SELATAN
LUBUKLINGGAU,SUMATERA SELATAN
BENGKULU SELATAN,BENGKULU
REJANG LEBONG,BENGKULU
BENGKULU UTARA,BENGKULU
KAUR,BENGKULU
SELUMA,BENGKULU
MUKOMUKO,BENGKULU
LEBONG,BENGKULU
KEPAHIANG,BENGKULU
BENGKULU TENGAH,BENGKULU
BENGKULU,BENGKULU
LAMPUNG BARAT,LAMPUNG
TANGGAMUS,LAMPUNG
LAMPUNG SELATAN,LAMPUNG
LAMPUNG TIMUR,LAMPUNG
LAMPUNG TENGAH,LAMPUNG
LAMPUNG UTARA,LAMPUNG
WAY KANAN,LAMPUNG
TULANGBAWANG,LAMPUNG
PESAWARAN,LAMPUNG
PRINGSEWU,LAMPUNG
MESUJI,LAMPUNG
TULANG BAWANG BARAT,LAMPUNG
PESISIR BARAT,LAMPUNG
BANDAR LAMPUNG,LAMPUNG
METRO,LAMPUNG
BANGKA,KEPULAUAN BANGKA BELITUNG
BELITUNG,KEPULAUAN BANGKA BELITUNG
BANGKA BARAT,KEPULAUAN BANGKA BELITUNG
BANGKA TENGAH,KEPULAUAN BANGKA BELITUNG
BANGKA SELATAN,KEPULAUAN BANGKA BELITUNG
BELITUNG TIMUR,KEPULAUAN BANGKA BELITUNG
PANGKAL PINANG,KEPULAUAN BANGKA BELITUNG
KARIMUN,KEPULAUAN RIAU
BINTAN,KEPULAUAN RIAU
NATUNA,KEPULAUAN RIAU
LINGGA,KEPULAUAN RIAU
KEPULAUAN ANAMBAS,KEPULAUAN RIAU
B A T A M,KEPULAUAN RIAU
TANJUNG PINANG,KEPULAUAN RIAU
KEPULAUAN SERIBU,DKI JAKARTA
JAKARTA SELATAN,DKI JAKARTA
JAKARTA TIMUR,DKI JAKARTA
JAKARTA PUSAT,DKI JAKARTA
JAKARTA BARAT,DKI JAKARTA
JAKARTA UTARA,DKI JAKARTA
BOGOR,JAWA BARAT
SUKABUMI,JAWA BARAT
CIANJUR,JAWA BARAT
BANDUNG,JAWA BARAT
GARUT,JAWA BARAT
TASIKMALAYA,JAWA BARAT
CIAMIS,JAWA BARAT
KUNINGAN,JAWA BARAT
CIREBON,JAWA BARAT
MAJALENGKA,JAWA BARAT
SUMEDANG,JAWA BARAT
INDRAMAYU,JAWA BARAT
SUBANG,JAWA BARAT
PURWAKARTA,JAWA BARAT
KARAWANG,JAWA BARAT
BEKASI,JAWA BARAT
BANDUNG BARAT,JAWA BARAT
PANGANDARAN,JAWA BARAT
BOGOR,JAWA BARAT
SUKABUMI,JAWA BARAT
BANDUNG,JAWA BARAT
CIREBON,JAWA BARAT
BEKASI,JAWA BARAT
DEPOK,JAWA BARAT
CIMAHI,JAWA BARAT
TASIKMALAYA,JAWA BARAT
BANJAR,JAWA BARAT
CILACAP,JAWA TENGAH
BANYUMAS,JAWA TENGAH
PURBALINGGA,JAWA TENGAH
BANJARNEGARA,JAWA TENGAH
KEBUMEN,JAWA TENGAH
PURWOREJO,JAWA TENGAH
WONOSOBO,JAWA TENGAH
MAGELANG,JAWA TENGAH
BOYOLALI,JAWA TENGAH
KLATEN,JAWA TENGAH
SUKOHARJO,JAWA TENGAH
WONOGIRI,JAWA TENGAH
KARANGANYAR,JAWA TENGAH
SRAGEN,JAWA TENGAH
GROBOGAN,JAWA TENGAH
BLORA,JAWA TENGAH
REMBANG,JAWA TENGAH
PATI,JAWA TENGAH
KUDUS,JAWA TENGAH
JEPARA,JAWA TENGAH
DEMAK,JAWA TENGAH
SEMARANG,JAWA TENGAH
TEMANGGUNG,JAWA TENGAH
KENDAL,JAWA TENGAH
BATANG,JAWA TENGAH
PEKALONGAN,JAWA TENGAH
PEMALANG,JAWA TENGAH
TEGAL,JAWA TENGAH
BREBES,JAWA TENGAH
MAGELANG,JAWA TENGAH
SURAKARTA,JAWA TENGAH
SALATIGA,JAWA TENGAH
SEMARANG,JAWA TENGAH
PEKALONGAN,JAWA TENGAH
TEGAL,JAWA TENGAH
KULON PROGO,DI YOGYAKARTA
BANTUL,DI YOGYAKARTA
GUNUNG KIDUL,DI YOGYAKARTA
SLEMAN,DI YOGYAKARTA
YOGYAKARTA,DI YOGYAKARTA
PACITAN,JAWA TIMUR
PONOROGO,JAWA TIMUR
TRENGGALEK,JAWA TIMUR
TULUNGAGUNG,JAWA TIMUR
BLITAR,JAWA TIMUR
KEDIRI,JAWA TIMUR
MALANG,JAWA TIMUR
LUMAJANG,JAWA TIMUR
JEMBER,JAWA TIMUR
BANYUWANGI,JAWA TIMUR
BONDOWOSO,JAWA TIMUR
SITUBONDO,JAWA TIMUR
PROBOLINGGO,JAWA TIMUR
PASURUAN,JAWA TIMUR
SIDOARJO,JAWA TIMUR
MOJOKERTO,JAWA TIMUR
JOMBANG,JAWA TIMUR
NGANJUK,JAWA TIMUR
MADIUN,JAWA TIMUR
MAGETAN,JAWA TIMUR
NGAWI,JAWA TIMUR
BOJONEGORO,JAWA TIMUR
TUBAN,JAWA TIMUR
LAMONGAN,JAWA TIMUR
GRESIK,JAWA TIMUR
BANGKALAN,JAWA TIMUR
SAMPANG,JAWA TIMUR
PAMEKASAN,JAWA TIMUR
SUMENEP,JAWA TIMUR
KEDIRI,JAWA TIMUR
BLITAR,JAWA TIMUR
MALANG,JAWA TIMUR
PROBOLINGGO,JAWA TIMUR
PASURUAN,JAWA TIMUR
MOJOKERTO,JAWA TIMUR
MADIUN,JAWA TIMUR
SURABAYA,JAWA TIMUR
BATU,JAWA TIMUR
PANDEGLANG,BANTEN
LEBAK,BANTEN
TANGERANG,BANTEN
SERANG,BANTEN
TANGERANG,BANTEN
CILEGON,BANTEN
SERANG,BANTEN
TANGERANG SELATAN,BANTEN
JEMBRANA,BALI
TABANAN,BALI
BADUNG,BALI
GIANYAR,BALI
KLUNGKUNG,BALI
BANGLI,BALI
KARANG ASEM,BALI
BULELENG,BALI
DENPASAR,BALI
LOMBOK BARAT,NUSA TENGGARA BARAT
LOMBOK TENGAH,NUSA TENGGARA BARAT
LOMBOK TIMUR,NUSA TENGGARA BARAT
SUMBAWA,NUSA TENGGARA BARAT
DOMPU,NUSA TENGGARA BARAT
BIMA,NUSA TENGGARA BARAT
SUMBAWA BARAT,NUSA TENGGARA BARAT
LOMBOK UTARA,NUSA TENGGARA BARAT
MATARAM,NUSA TENGGARA BARAT
BIMA,NUSA TENGGARA BARAT
SUMBA BARAT,NUSA TENGGARA TIMUR
SUMBA TIMUR,NUSA TENGGARA TIMUR
KUPANG,NUSA TENGGARA TIMUR
TIMOR TENGAH SELATAN,NUSA TENGGARA TIMUR
TIMOR TENGAH UTARA,NUSA TENGGARA TIMUR
BELU,NUSA TENGGARA TIMUR
ALOR,NUSA TENGGARA TIMUR
LEMBATA,NUSA TENGGARA TIMUR
FLORES TIMUR,NUSA TENGGARA TIMUR
SIKKA,NUSA TENGGARA TIMUR
ENDE,NUSA TENGGARA TIMUR
NGADA,NUSA TENGGARA TIMUR
MANGGARAI,NUSA TENGGARA TIMUR
ROTE NDAO,NUSA TENGGARA TIMUR
MANGGARAI BARAT,NUSA TENGGARA TIMUR
SUMBA TENGAH,NUSA TENGGARA TIMUR
SUMBA BARAT DAYA,NUSA TENGGARA TIMUR
NAGEKEO,NUSA TENGGARA TIMUR
MANGGARAI TIMUR,NUSA TENGGARA TIMUR
SABU RAIJUA,NUSA TENGGARA TIMUR
MALAKA,NUSA TENGGARA TIMUR
KUPANG,NUSA TENGGARA TIMUR
SAMBAS,KALIMANTAN BARAT
BENGKAYANG,KALIMANTAN BARAT
LANDAK,KALIMANTAN BARAT
MEMPAWAH,KALIMANTAN BARAT
SANGGAU,KALIMANTAN BARAT
KETAPANG,KALIMANTAN BARAT
SINTANG,KALIMANTAN BARAT
KAPUAS HULU,KALIMANTAN BARAT
SEKADAU,KALIMANTAN BARAT
MELAWI,KALIMANTAN BARAT
KAYONG UTARA,KALIMANTAN BARAT
KUBU RAYA,KALIMANTAN BARAT
PONTIANAK,KALIMANTAN BARAT
SINGKAWANG,KALIMANTAN BARAT
KOTAWARINGIN BARAT,KALIMANTAN TENGAH
KOTAWARINGIN TIMUR,KALIMANTAN TENGAH
KAPUAS,KALIMANTAN TENGAH
BARITO SELATAN,KALIMANTAN TENGAH
BARITO UTARA,KALIMANTAN TENGAH
SUKAMARA,KALIMANTAN TENGAH
LAMANDAU,KALIMANTAN TENGAH
SERUYAN,KALIMANTAN TENGAH
KATINGAN,KALIMANTAN TENGAH
PULANG PISAU,KALIMANTAN TENGAH
GUNUNG MAS,KALIMANTAN TENGAH
BARITO TIMUR,KALIMANTAN TENGAH
MURUNG RAYA,KALIMANTAN TENGAH
PALANGKA RAYA,KALIMANTAN TENGAH
TANAH LAUT,KALIMANTAN SELATAN
BARU,KALIMANTAN SELATAN
BANJAR,KALIMANTAN SELATAN
BARITO KUALA,KALIMANTAN SELATAN
TAPIN,KALIMANTAN SELATAN
HULU SUNGAI SELATAN,KALIMANTAN SELATAN
HULU SUNGAI TENGAH,KALIMANTAN SELATAN
HULU SUNGAI UTARA,KALIMANTAN SELATAN
TABALONG,KALIMANTAN SELATAN
TANAH BUMBU,KALIMANTAN SELATAN
BALANGAN,KALIMANTAN SELATAN
BANJARMASIN,KALIMANTAN SELATAN
BANJAR BARU,KALIMANTAN SELATAN
PASER,KALIMANTAN TIMUR
KUTAI BARAT,KALIMANTAN TIMUR
KUTAI KARTANEGARA,KALIMANTAN TIMUR
KUTAI TIMUR,KALIMANTAN TIMUR
BERAU,KALIMANTAN TIMUR
PENAJAM PASER UTARA,KALIMANTAN TIMUR
MAHAKAM HULU,KALIMANTAN TIMUR
BALIKPAPAN,KALIMANTAN TIMUR
SAMARINDA,KALIMANTAN TIMUR
BONTANG,KALIMANTAN TIMUR
MALINAU,KALIMANTAN UTARA
BULUNGAN,KALIMANTAN UTARA
TANA TIDUNG,KALIMANTAN UTARA
NUNUKAN,KALIMANTAN UTARA
TARAKAN,KALIMANTAN UTARA
BOLAANG MONGONDOW,SULAWESI UTARA
MINAHASA,SULAWESI UTARA
KEPULAUAN SANGIHE,SULAWESI UTARA
KEPULAUAN TALAUD,SULAWESI UTARA
MINAHASA SELATAN,SULAWESI UTARA
MINAHASA UTARA,SULAWESI UTARA
BOLAANG MONGONDOW UTARA,SULAWESI UTARA
SIAU TAGULANDANG BIARO,SULAWESI UTARA
MINAHASA TENGGARA,SULAWESI UTARA
BOLAANG MONGONDOW SELATAN,SULAWESI UTARA
BOLAANG MONGONDOW TIMUR,SULAWESI UTARA
MANADO,SULAWESI UTARA
BITUNG,SULAWESI UTARA
TOMOHON,SULAWESI UTARA
KOTAMOBAGU,SULAWESI UTARA
BANGGAI KEPULAUAN,SULAWESI TENGAH
BANGGAI,SULAWESI TENGAH
MOROWALI,SULAWESI TENGAH
POSO,SULAWESI TENGAH
DONGGALA,SULAWESI TENGAH
TOLI-TOLI,SULAWESI TENGAH
BUOL,SULAWESI TENGAH
PARIGI MOUTONG,SULAWESI TENGAH
TOJO UNA-UNA,SULAWESI TENGAH
SIGI,SULAWESI TENGAH
BANGGAI LAUT,SULAWESI TENGAH
MOROWALI UTARA,SULAWESI TENGAH
PALU,SULAWESI TENGAH
KEPULAUAN SELAYAR,SULAWESI SELATAN
BULUKUMBA,SULAWESI SELATAN
BANTAENG,SULAWESI SELATAN
JENEPONTO,SULAWESI SELATAN
TAKALAR,SULAWESI SELATAN
GOWA,SULAWESI SELATAN
SINJAI,SULAWESI SELATAN
MAROS,SULAWESI SELATAN
PANGKAJENE DAN KEPULAUAN,SULAWESI SELATAN
BARRU,SULAWESI SELATAN
BONE,SULAWESI SELATAN
SOPPENG,SULAWESI SELATAN
WAJO,SULAWESI SELATAN
SIDENRENG RAPPANG,SULAWESI SELATAN
PINRANG,SULAWESI SELATAN
ENREKANG,SULAWESI SELATAN
LUWU,SULAWESI SELATAN
TANA TORAJA,SULAWESI SELATAN
LUWU UTARA,SULAWESI SELATAN
LUWU TIMUR,SULAWESI SELATAN
TORAJA UTARA,SULAWESI SELATAN
MAKASSAR,SULAWESI SELATAN
PAREPARE,SULAWESI SELATAN
PALOPO,SULAWESI SELATAN
BUTON,SULAWESI TENGGARA
MUNA,SULAWESI TENGGARA
KONAWE,SULAWESI TENGGARA
KOLAKA,SULAWESI TENGGARA
KONAWE SELATAN,SULAWESI TENGGARA
BOMBANA,SULAWESI TENGGARA
WAKATOBI,SULAWESI TENGGARA
KOLAKA UTARA,SULAWESI TENGGARA
BUTON UTARA,SULAWESI TENGGARA
KONAWE UTARA,SULAWESI TENGGARA
KOLAKA TIMUR,SULAWESI TENGGARA
KONAWE KEPULAUAN,SULAWESI TENGGARA
MUNA BARAT,SULAWESI TENGGARA
BUTON TENGAH,SULAWESI TENGGARA
BUTON SELATAN,SULAWESI TENGGARA
KENDARI,SULAWESI TENGGARA
BAUBAU,SULAWESI TENGGARA
BOALEMO,GORONTALO
GORONTALO,GORONTALO
POHUWATO,GORONTALO
BONE BOLANGO,GORONTALO
GORONTALO UTARA,GORONTALO
GORONTALO,GORONTALO
MAJENE,SULAWESI BARAT
POLEWALI MANDAR,SULAWESI BARAT
MAMASA,SULAWESI BARAT
MAMUJU,SULAWESI BARAT
MAMUJU UTARA,SULAWESI BARAT
MAMUJU TENGAH,SULAWESI BARAT
MALUKU TENGGARA BARAT,MALUKU
MALUKU TENGGARA,MALUKU
MALUKU TENGAH,MALUKU
BURU,MALUKU
KEPULAUAN ARU,MALUKU
SERAM BAGIAN BARAT,MALUKU
SERAM BAGIAN TIMUR,MALUKU
MALUKU BARAT DAYA,MALUKU
BURU SELATAN,MALUKU
AMBON,MALUKU
TUAL,MALUKU
HALMAHERA BARAT,MALUKU UTARA
HALMAHERA TENGAH,MALUKU UTARA
KEPULAUAN SULA,MALUKU UTARA
HALMAHERA SELATAN,MALUKU UTARA
HALMAHERA UTARA,MALUKU UTARA
HALMAHERA TIMUR,MALUKU UTARA
PULAU MOROTAI,MALUKU UTARA
PULAU TALIABU,MALUKU UTARA
TERNATE,MALUKU UTARA
TIDORE KEPULAUAN,MALUKU UTARA
FAKFAK,PAPUA BARAT
KAIMANA,PAPUA BARAT
TELUK WONDAMA,PAPUA BARAT
TELUK BINTUNI,PAPUA BARAT
MANOKWARI,PAPUA BARAT
SORONG SELATAN,PAPUA BARAT
SORONG,PAPUA BARAT
RAJA AMPAT,PAPUA BARAT
TAMBRAUW,PAPUA BARAT
MAYBRAT,PAPUA BARAT
MANOKWARI SELATAN,PAPUA BARAT
PEGUNUNGAN ARFAK,PAPUA BARAT
SORONG,PAPUA BARAT
MERAUKE,PAPUA
JAYAWIJAYA,PAPUA
JAYAPURA,PAPUA
NABIRE,PAPUA
KEPULAUAN YAPEN,PAPUA
BIAK NUMFOR,PAPUA
PANIAI,PAPUA
PUNCAK JAYA,PAPUA
MIMIKA,PAPUA
BOVEN DIGOEL,PAPUA
MAPPI,PAPUA
ASMAT,PAPUA
YAHUKIMO,PAPUA
PEGUNUNGAN BINTANG,PAPUA
TOLIKARA,PAPUA
SARMI,PAPUA
KEEROM,PAPUA
WAROPEN,PAPUA
SUPIORI,PAPUA
MAMBERAMO RAYA,PAPUA
NDUGA,PAPUA
LANNY JAYA,PAPUA
MAMBERAMO TENGAH,PAPUA
YALIMO,PAPUA
PUNCAK,PAPUA
DOGIYAI,PAPUA
INTAN JAYA,PAPUA
DEIYAI,PAPUA
JAYAPURA,PAPUA
